Edad,Genero,Faccion,ExperienciaCombate,HabilidadSigilo,Salud,ArmaFuego,ArmaCuerpoCuerpo,ItemCreable,NivelInfeccionZona,CondicionesClimaticas,NivelEstrés,TieneCompañero,Superviviente
58,Masculino,Militar,9,3,74,Bow,Lead Pipe,Health Kit,4,Seco,5,0,1
16,Femenino,Civil,9,2,82,El Diablo,Ninguna,Molotov Cocktail,10,Lluvioso,8,0,0
33,Femenino,Civil,4,5,66,Shorty,Ninguna,Health Kit,4,Lluvioso,10,0,0
33,Femenino,Civil,3,6,98,Shotgun,Lead Pipe,Health Kit,8,Seco,1,1,0
57,Masculino,Militar,2,5,52,Revolver,Hatchet,Shiv,10,Seco,0,0,0
31,Femenino,Firefly,7,2,59,Bow,Hatchet,Smoke Bomb,2,Húmedo,2,0,1
37,Femenino,Militar,5,8,61,Shorty,2x4,Shiv,1,Lluvioso,10,0,1
39,Femenino,Cazador,7,2,62,Flamethrower,Switchblade,Nail Bomb,3,Seco,7,1,0
22,Femenino,Militar,5,2,84,Hunting Rifle,Hatchet,Shiv,5,Seco,10,0,0
19,Masculino,Firefly,6,7,89,El Diablo,Ninguna,Health Kit,1,Seco,1,0,1
15,Femenino,Firefly,6,3,81,Bow,Machete,Ninguno,6,Seco,7,0,0
34,Femenino,Firefly,5,8,51,Shorty,Switchblade,Smoke Bomb,8,Húmedo,8,0,0
55,Masculino,Militar,4,10,72,El Diablo,Hatchet,Nail Bomb,8,Lluvioso,5,0,0
37,Masculino,Civil,3,7,44,Shotgun,Hatchet,Health Kit,1,Lluvioso,10,0,0
42,Masculino,Firefly,5,9,88,Shotgun,Ninguna,Health Kit,0,Húmedo,4,1,1
52,Femenino,Cazador,2,4,37,Shorty,Ninguna,Ninguno,7,Húmedo,1,0,0
20,Femenino,Cazador,5,8,65,Shorty,Switchblade,Shiv,7,Húmedo,4,0,0
39,Masculino,Civil,3,6,91,Bow,Lead Pipe,Ninguno,1,Seco,8,0,1
